Area,Item,Year,Unit,Value
Angola,"Onions and shallots, green",2020,100 g/ha,21331
Angola,"Onions and shallots, green",2021,100 g/ha,21271
Angola,"Other citrus fruit, n.e.c.",2020,100 g/ha,111283
Angola,"Other citrus fruit, n.e.c.",2021,100 g/ha,112296
Angola,"Other fruits, n.e.c.",2020,100 g/ha,47595
Angola,"Other fruits, n.e.c.",2021,100 g/ha,47890
Angola,"Other vegetables, fresh n.e.c.",2020,100 g/ha,62047
Angola,"Other vegetables, fresh n.e.c.",2021,100 g/ha,62389
Angola,Pineapples,2020,100 g/ha,176083
Angola,Pineapples,2021,100 g/ha,180264
Angola,Potatoes,2020,100 g/ha,71952
Angola,Potatoes,2021,100 g/ha,71754
Angola,Rice,2020,100 g/ha,12375
Angola,Rice,2021,100 g/ha,12266
Angola,"Seed cotton, unginned",2020,100 g/ha,18702
Angola,"Seed cotton, unginned",2021,100 g/ha,18692
Angola,Sesame seed,2020,100 g/ha,2615
Angola,Sesame seed,2021,100 g/ha,2613
Angola,"Sisal, raw",2020,100 g/ha,10474
Angola,"Sisal, raw",2021,100 g/ha,10425
Angola,Sorghum,2020,100 g/ha,2286
Angola,Sorghum,2021,100 g/ha,2269
Angola,Soya beans,2020,100 g/ha,10398
Angola,Soya beans,2021,100 g/ha,10242
Angola,Sugar cane,2020,100 g/ha,394254
Angola,Sugar cane,2021,100 g/ha,393167
Angola,Sunflower seed,2020,100 g/ha,7092
Angola,Sunflower seed,2021,100 g/ha,7098
Angola,Sweet potatoes,2020,100 g/ha,94716
Angola,Sweet potatoes,2021,100 g/ha,95163
Angola,Tomatoes,2020,100 g/ha,26318
Angola,Tomatoes,2021,100 g/ha,26580
Angola,Unmanufactured tobacco,2020,100 g/ha,10317
Angola,Unmanufactured tobacco,2021,100 g/ha,10162
Angola,Wheat,2020,100 g/ha,8841
Angola,Wheat,2021,100 g/ha,8930
Antigua and Barbuda,Bananas,2020,100 g/ha,4159
Antigua and Barbuda,Bananas,2021,100 g/ha,1972
Antigua and Barbuda,Cabbages,2020,100 g/ha,13846
Antigua and Barbuda,Cabbages,2021,100 g/ha,20095
Antigua and Barbuda,Cantaloupes and other melons,2020,100 g/ha,136364
Antigua and Barbuda,Cantaloupes and other melons,2021,100 g/ha,45317
Antigua and Barbuda,Carrots and turnips,2020,100 g/ha,214286
Antigua and Barbuda,Carrots and turnips,2021,100 g/ha,41047
Antigua and Barbuda,"Cassava, fresh",2020,100 g/ha,60941
Antigua and Barbuda,"Cassava, fresh",2021,100 g/ha,16312
Antigua and Barbuda,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2020,100 g/ha,47632
Antigua and Barbuda,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2021,100 g/ha,37466
Antigua and Barbuda,Cucumbers and gherkins,2020,100 g/ha,86000
Antigua and Barbuda,Cucumbers and gherkins,2021,100 g/ha,40220
Antigua and Barbuda,Eggplants (aubergines),2020,100 g/ha,44156
Antigua and Barbuda,Eggplants (aubergines),2021,100 g/ha,34428
Antigua and Barbuda,Lemons and limes,2020,100 g/ha,48139
Antigua and Barbuda,Lemons and limes,2021,100 g/ha,48322
Antigua and Barbuda,Lettuce and chicory,2020,100 g/ha,134118
Antigua and Barbuda,Lettuce and chicory,2021,100 g/ha,60214
Antigua and Barbuda,Maize (corn),2020,100 g/ha,38000
Antigua and Barbuda,Maize (corn),2021,100 g/ha,20941
Antigua and Barbuda,"Mangoes, guavas and mangosteens",2020,100 g/ha,46585
Antigua and Barbuda,"Mangoes, guavas and mangosteens",2021,100 g/ha,46441
Antigua and Barbuda,Okra,2020,100 g/ha,23525
Antigua and Barbuda,Okra,2021,100 g/ha,19462
Antigua and Barbuda,"Onions and shallots, dry (excluding dehydrated)",2020,100 g/ha,73659
Antigua and Barbuda,"Onions and shallots, dry (excluding dehydrated)",2021,100 g/ha,83609
Antigua and Barbuda,"Other beans, green",2020,100 g/ha,40352
Antigua and Barbuda,"Other beans, green",2021,100 g/ha,40029
Antigua and Barbuda,"Other tropical fruits, n.e.c.",2020,100 g/ha,70203
Antigua and Barbuda,"Other tropical fruits, n.e.c.",2021,100 g/ha,69937
Antigua and Barbuda,"Other vegetables, fresh n.e.c.",2020,100 g/ha,19890
Antigua and Barbuda,"Other vegetables, fresh n.e.c.",2021,100 g/ha,18100
Antigua and Barbuda,Pineapples,2020,100 g/ha,146250
Antigua and Barbuda,Pineapples,2021,100 g/ha,141280
Antigua and Barbuda,"Pumpkins, squash and gourds",2020,100 g/ha,87276
Antigua and Barbuda,"Pumpkins, squash and gourds",2021,100 g/ha,30181
Antigua and Barbuda,"Seed cotton, unginned",2020,100 g/ha,1748
Antigua and Barbuda,"Seed cotton, unginned",2021,100 g/ha,1782
Antigua and Barbuda,Spinach,2020,100 g/ha,30435
Antigua and Barbuda,Spinach,2021,100 g/ha,37959
Antigua and Barbuda,Sweet potatoes,2020,100 g/ha,44744
Antigua and Barbuda,Sweet potatoes,2021,100 g/ha,18170
Antigua and Barbuda,Taro,2020,100 g/ha,40117
Antigua and Barbuda,Taro,2021,100 g/ha,40229
Antigua and Barbuda,Tomatoes,2020,100 g/ha,56885
Antigua and Barbuda,Tomatoes,2021,100 g/ha,34170
Antigua and Barbuda,Watermelons,2020,100 g/ha,95816
Antigua and Barbuda,Watermelons,2021,100 g/ha,67044
Antigua and Barbuda,Yams,2020,100 g/ha,31895
Antigua and Barbuda,Yams,2021,100 g/ha,31963
Argentina,"Almonds, in shell",2020,100 g/ha,17773
Argentina,"Almonds, in shell",2021,100 g/ha,17801
Argentina,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2020,100 g/ha,8876
Argentina,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2021,100 g/ha,8929
Argentina,Apples,2020,100 g/ha,280194
Argentina,Apples,2021,100 g/ha,259912
Argentina,Apricots,2020,100 g/ha,115758
Argentina,Apricots,2021,100 g/ha,116014
Argentina,Artichokes,2020,100 g/ha,197222
Argentina,Artichokes,2021,100 g/ha,197895
Argentina,Asparagus,2020,100 g/ha,39601
Argentina,Asparagus,2021,100 g/ha,39616
Argentina,Avocados,2020,100 g/ha,70857
Argentina,Avocados,2021,100 g/ha,71145
Argentina,Bananas,2020,100 g/ha,209720
Argentina,Bananas,2021,100 g/ha,209813
Argentina,Barley,2020,100 g/ha,41082
Argentina,Barley,2021,100 g/ha,40101
Argentina,"Beans, dry",2020,100 g/ha,12982
Argentina,"Beans, dry",2021,100 g/ha,14502
Argentina,"Broad beans and horse beans, dry",2020,100 g/ha,88851
Argentina,"Broad beans and horse beans, dry",2021,100 g/ha,88961
Argentina,Canary seed,2020,100 g/ha,13924
Argentina,Canary seed,2021,100 g/ha,14643
Argentina,Cantaloupes and other melons,2020,100 g/ha,157458
Argentina,Cantaloupes and other melons,2021,100 g/ha,157177
Argentina,Carrots and turnips,2020,100 g/ha,324555
Argentina,Carrots and turnips,2021,100 g/ha,333333
Argentina,"Cassava, fresh",2020,100 g/ha,100137
Argentina,"Cassava, fresh",2021,100 g/ha,98775
Argentina,Cereals n.e.c.,2020,100 g/ha,6381
Argentina,Cereals n.e.c.,2021,100 g/ha,6367
Argentina,Cherries,2020,100 g/ha,34119
Argentina,Cherries,2021,100 g/ha,34105
Argentina,"Chick peas, dry",2020,100 g/ha,15732
Argentina,"Chick peas, dry",2021,100 g/ha,10796
Argentina,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2020,100 g/ha,11629
Argentina,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2021,100 g/ha,11686
Argentina,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2020,100 g/ha,235197
Argentina,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2021,100 g/ha,239281
Argentina,Figs,2020,100 g/ha,31932
Argentina,Figs,2021,100 g/ha,31876
Argentina,"Flax, processed but not spun",2020,100 g/ha,8916
Argentina,"Flax, processed but not spun",2021,100 g/ha,9021
Argentina,Grapes,2020,100 g/ha,95706
Argentina,Grapes,2021,100 g/ha,106179
Argentina,Green garlic,2020,100 g/ha,96372
Argentina,Green garlic,2021,100 g/ha,96383
Argentina,"Groundnuts, excluding shelled",2020,100 g/ha,34989
Argentina,"Groundnuts, excluding shelled",2021,100 g/ha,31543
Argentina,Hop cones,2020,100 g/ha,12231
Argentina,Hop cones,2021,100 g/ha,12232
Argentina,Lemons and limes,2020,100 g/ha,331592
Argentina,Lemons and limes,2021,100 g/ha,336012
Argentina,"Lentils, dry",2020,100 g/ha,10477
Argentina,"Lentils, dry",2021,100 g/ha,7164
Argentina,Linseed,2020,100 g/ha,13699
Argentina,Linseed,2021,100 g/ha,11173
Argentina,Lupins,2020,100 g/ha,15312
Argentina,Lupins,2021,100 g/ha,15293
Argentina,Maize (corn),2020,100 g/ha,75539
Argentina,Maize (corn),2021,100 g/ha,74296
Argentina,"Mangoes, guavas and mangosteens",2020,100 g/ha,80304
Argentina,"Mangoes, guavas and mangosteens",2021,100 g/ha,80338
Argentina,Maté leaves,2020,100 g/ha,45821
Argentina,Maté leaves,2021,100 g/ha,46798
Argentina,Millet,2020,100 g/ha,15488
Argentina,Millet,2021,100 g/ha,15237
Argentina,Oats,2020,100 g/ha,18618
